date_of_interest,case_count,Bronx,Brooklyn,Manhattan,Queens,Staten Island
7/5/22,5218,788,1495,1083,1520,332
7/6/22,4345,642,1225,960,1233,284
7/7/22,4224,613,1247,902,1206,255
7/8/22,3804,527,1126,778,1125,243
7/9/22,2544,389,758,471,743,183
7/10/22,2448,266,724,522,748,186
7/11/22,4969,743,1402,1040,1459,321
7/12/22,4231,690,1249,848,1200,243
7/13/22,3964,622,1180,814,1137,208
7/14/22,3891,607,1181,758,1112,228
7/15/22,3733,564,1161,727,1082,196
7/16/22,2346,352,631,443,743,176
7/17/22,2377,302,684,522,702,167
7/18/22,4346,620,1256,851,1337,278
7/19/22,4068,646,1166,822,1206,225
7/20/22,3822,641,1121,760,1067,230
7/21/22,3419,531,1003,690,988,205
7/22/22,3206,489,955,623,911,227
7/23/22,2173,322,603,409,685,154
7/24/22,2021,292,596,396,597,138
7/25/22,4266,710,1177,868,1256,254
7/26/22,3846,650,1082,751,1120,242
7/27/22,3631,573,1067,742,1023,225
7/28/22,3180,570,910,624,879,197
7/29/22,2881,496,811,542,854,178
7/30/22,1788,300,483,304,585,116
7/31/22,1918,296,561,331,590,140
8/1/22,3772,631,1078,705,1143,215
8/2/22,3463,558,999,709,985,212
8/3/22,3141,558,818,644,925,196
8/4/22,2883,461,816,561,856,189
8/5/22,2655,427,748,513,782,185
8/6/22,1629,294,412,311,507,105
8/7/22,1567,237,431,277,496,126
8/8/22,3188,575,888,618,881,226
8/9/22,2471,487,647,467,705,164
