Station Name,Borough,Line,Division,Structure,Daytime Routes,Latitude,Longitude
88 St,Queens,Liberty Av,IND,Elevated,A,40.679843,-73.85147
90 St-Elmhurst Av,Queens,Flushing,IRT,Elevated,7,40.748408,-73.876613
Aqueduct Racetrack,Queens,Rockaway,IND,At Grade,A,40.672097,-73.835919
Aqueduct-N Conduit Av,Queens,Rockaway,IND,At Grade,A,40.668234,-73.834058
Astoria Blvd,Queens,Astoria,BMT,Elevated,N W,40.770258,-73.917843
Astoria-Ditmars Blvd,Queens,Astoria,BMT,Elevated,N W,40.775036,-73.912034
Beach 105 St,Queens,Rockaway,IND,Viaduct,A S,40.583209,-73.827559
Beach 25 St,Queens,Rockaway,IND,Viaduct,A,40.600066,-73.761353
Beach 36 St,Queens,Rockaway,IND,Viaduct,A,40.595398,-73.768175
Beach 44 St,Queens,Rockaway,IND,Viaduct,A,40.592943,-73.776013
Beach 60 St,Queens,Rockaway,IND,Viaduct,A,40.592374,-73.788522
Beach 67 St,Queens,Rockaway,IND,Viaduct,A,40.590927,-73.796924
Beach 90 St,Queens,Rockaway,IND,Viaduct,A S,40.588034,-73.813641
Beach 98 St,Queens,Rockaway,IND,Viaduct,A S,40.585307,-73.820558
Briarwood,Queens,Queens Blvd,IND,Subway,E F,40.709179,-73.820574
Broad Channel,Queens,Rockaway,IND,At Grade,A S,40.608382,-73.815925
Broadway,Queens,Astoria,BMT,Elevated,N W,40.76182,-73.925508
Court Sq,Queens,Crosstown,IND,Subway,G,40.746554,-73.943832
Court Sq,Queens,Flushing,IRT,Elevated,7,40.747023,-73.945264
Court Sq-23 St,Queens,Queens Blvd,IND,Subway,E F,40.747846,-73.946
Elmhurst Av,Queens,Queens Blvd,IND,Subway,M R,40.742454,-73.882017
Far Rockaway-Mott Av,Queens,Rockaway,IND,Viaduct,A,40.603995,-73.755405
Flushing-Main St,Queens,Flushing,IRT,Subway,7,40.7596,-73.83003
Forest Av,Queens,Myrtle Av,BMT,Elevated,M,40.704423,-73.903077
Forest Hills-71 Av,Queens,Queens Blvd,IND,Subway,E F M R,40.721691,-73.844521
Fresh Pond Rd,Queens,Myrtle Av,BMT,Elevated,M,40.706186,-73.895877
Grand Av-Newtown,Queens,Queens Blvd,IND,Subway,M R,40.737015,-73.877223
Halsey St,Queens,Canarsie,BMT,Subway,L,40.695602,-73.904084
Howard Beach-JFK Airport,Queens,Rockaway,IND,At Grade,A,40.660476,-73.830301
Hunters Point Av,Queens,Flushing,IRT,Subway,7,40.742216,-73.948916
Jackson Hts-Roosevelt Av,Queens,Queens Blvd,IND,Subway,E F M R,40.746644,-73.891338
Jamaica Center-Parsons/Archer,Queens,Queens - Archer,IND,Subway,E J Z,40.702147,-73.801109
Jamaica-179 St,Queens,Queens Blvd,IND,Subway,F,40.712646,-73.783817
Jamaica-Van Wyck,Queens,Queens - Archer,IND,Subway,E,40.702566,-73.816859
Junction Blvd,Queens,Flushing,IRT,Elevated,7,40.749145,-73.869527
Kew Gardens-Union Tpke,Queens,Queens Blvd,IND,Subway,E F,40.714441,-73.831008
Mets-Willets Point,Queens,Flushing,IRT,Elevated,7,40.754622,-73.845625
Middle Village-Metropolitan Av,Queens,Myrtle Av,BMT,Elevated,M,40.711396,-73.889601
Northern Blvd,Queens,Queens Blvd,IND,Subway,M R,40.752885,-73.906006
Ozone Park-Lefferts Blvd,Queens,Liberty Av,IND,Elevated,A,40.685951,-73.825798
Parsons Blvd,Queens,Queens Blvd,IND,Subway,F,40.707564,-73.803326
Queens Plaza,Queens,Queens Blvd,IND,Subway,E F R,40.748973,-73.937243
Queensboro Plaza,Queens,Astoria,BMT,Elevated,N W,40.750582,-73.940202
Queensboro Plaza,Queens,Flushing,IRT,Elevated,7,40.750582,-73.940202
Rockaway Blvd,Queens,Liberty Av,IND,Elevated,A,40.680429,-73.843853
Rockaway Park-Beach 116 St,Queens,Rockaway,IND,At Grade,A S,40.580903,-73.835592
Seneca Av,Queens,Myrtle Av,BMT,Elevated,M,40.702762,-73.90774
Steinway St,Queens,Queens Blvd,IND,Subway,M R,40.756879,-73.92074
Sutphin Blvd,Queens,Queens Blvd,IND,Subway,F,40.70546,-73.810708
Sutphin Blvd-Archer Av-JFK Airport,Queens,Queens - Archer,IND,Subway,E J Z,40.700486,-73.807969
Vernon Blvd-Jackson Av,Queens,Flushing,IRT,Subway,7,40.742626,-73.953581
Woodhaven Blvd,Queens,Jamaica,BMT,Elevated,J Z,40.693879,-73.851576
Woodhaven Blvd,Queens,Queens Blvd,IND,Subway,M R,40.733106,-73.869229
Annadale,Staten Island,Staten Island,SIR,Open Cut,SIR,40.54046,-74.178217
Arthur Kill,Staten Island,Staten Island,SIR,At Grade,SIR,40.516578,-74.242096
Bay Terrace,Staten Island,Staten Island,SIR,Embankment,SIR,40.5564,-74.136907
Clifton,Staten Island,Staten Island,SIR,Elevated,SIR,40.621319,-74.071402
Dongan Hills,Staten Island,Staten Island,SIR,Embankment,SIR,40.588849,-74.09609
Eltingville,Staten Island,Staten Island,SIR,Embankment,SIR,40.544601,-74.16457
Grant City,Staten Island,Staten Island,SIR,Open Cut,SIR,40.578965,-74.109704
Grasmere,Staten Island,Staten Island,SIR,Open Cut,SIR,40.603117,-74.084087
Great Kills,Staten Island,Staten Island,SIR,Open Cut,SIR,40.551231,-74.151399
Huguenot,Staten Island,Staten Island,SIR,Open Cut,SIR,40.533674,-74.191794
Jefferson Av,Staten Island,Staten Island,SIR,Embankment,SIR,40.583591,-74.103338
New Dorp,Staten Island,Staten Island,SIR,Open Cut,SIR,40.57348,-74.11721
Oakwood Heights,Staten Island,Staten Island,SIR,Open Cut,SIR,40.56511,-74.12632
Old Town,Staten Island,Staten Island,SIR,Embankment,SIR,40.596612,-74.087368
Pleasant Plains,Staten Island,Staten Island,SIR,Embankment,SIR,40.52241,-74.217847
Prince's Bay,Staten Island,Staten Island,SIR,Open Cut,SIR,40.525507,-74.200064
Richmond Valley,Staten Island,Staten Island,SIR,Open Cut,SIR,40.519631,-74.229141
St George,Staten Island,Staten Island,SIR,Open Cut,SIR,40.643748,-74.073643
Stapleton,Staten Island,Staten Island,SIR,Elevated,SIR,40.627915,-74.075162
Tompkinsville,Staten Island,Staten Island,SIR,At Grade,SIR,40.636949,-74.074835
Tottenville,Staten Island,Staten Island,SIR,At Grade,SIR,40.512764,-74.251961
