Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Goodfellas,1990,Goodfellas,Goodfellas_pf,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/,24-13 32nd St.<br>Astoria<br>Queens,40.77148249,-73.91521633,Queens,Queens,N/A,Film,http://imdb.com/title/tt0099685/,Queens,slide,Y,25,,Y
Green Card,1990,Green%20Card,Greencard_pf,Courtesy of Photofest,Directed by,Peter Weir,http://imdb.com/name/nm0001837/,W. 76th St & Columbus<br>Upper West Side<br>Manhattan,40.78,-73.9769,Manhattan,Upper West Side,Rooftops,Film,http://www.imdb.com/title/tt0099699/,West 76th Street,We have another photo,Y,230,,Y
Greetings,1968,Greetings,Greetings_pf,Courtesy of Photofest,Directed by,Brian De Palma,http://imdb.com/name/nm0000361/,39 Whitehall St.<br>Lower Manhattan,40.702951,-74.012777,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0063036/,39 Whitehall Street,poor quality,Y,71,,Y
Hair,1979,Hair,Hair_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/,Sheep's Meadow<br>Central Park<br>Manhattan,40.77179937,-73.97488475,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0079261/,Central Park,,Y,145,,Y
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Spring St. and Green St.<br>SoHo<br>Manhattan,40.7238,-74.0004,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0091167/,SoHo,,Y,155,,N
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,W. 95th St. and West End Ave.<br>Upper West Side<br>Manhattan,40.7946,-73.9737,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0091167/,95th Street and West End Avenue,,N,,,N
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,,,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Metro Theatre (2626 Broadway)<br>Upper West Side<br>Manhattan,40.796766,-73.969947,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0091167/,"Metro Theatre, 101st and Broadway",,Y,241,,N
Heights,2005,Heights,Heights_ec,"Courtesy of Everett Collection, Inc.",Directed by,Chris Terrio,http://imdb.com/name/nm0006516/,Municipal Building<br>1 Centre St.<br>Lower Manhattan,40.71302062,-74.00337517,Manhattan,Lower Manhattan,Rooftops,Film,http://imdb.com/title/tt0382073/,Municipal Building,,Y,232,,Y
Hitch,2005,Hitch,,,Directed by,Andy Tennant,http://imdb.com/name/nm0855035/,Spring St. and Greene St.<br>SoHo<br>Manhattan,40.7238,-74.0004,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0386588/,"Greene and Spring Streets, SoHo",,Y,226,,N
Hudson Hawk,1991,Hudson%20Hawk,HudsonHawk_pf,Courtesy of Photofest,Directed by,Michael Lehmann,http://imdb.com/name/nm0499724/,Brooklyn Bridge,40.70310659,-73.99318814,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0102070/,Brooklyn Bridge ramp on Brooklyn side,,Y,131,,Y
I Like It Like That,1994,I%20Like%20It%20Like%20That,ILikeitLikeThat_pf,Courtesy of Photofest,Directed by,Darnell Martin,http://imdb.com/name/nm0552140/,170th St. in Morrisania<br>The Bronx,40.83870044,-73.91373038,The Bronx,The Bronx,The Subway,Film,http://www.imdb.com/title/tt0110091/,170th Street in Morrisania,Additional Image p193,Y,129,,Y
I Shot Andy Warhol,1996,I%20Shot%20Andy%20Warhol,IShotAndyWarhol_pf,Courtesy of Photofest,Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/,W. 20th St. <br>Chelsea<br>Manhattan,40.74053466,-73.99303257,Manhattan,Chelsea,N/A,Film,http://www.imdb.com/title/tt0116594/,West 20th bet Fifth and Sixth Ave,,Y,248,,Y
Inside Man,2006,Inside%20Man,,,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,William St. and Wall St.<br>Lower Manhattan,40.7064,-74.0095,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0454848/,William Street toward Wall Street,,Y,249,,N
It Could Happen to You,1994,It%20Could%20Happen%20to%20You,ItCouldHappentoYou2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Andrew Bergman,http://imdb.com/name/nm0000921/,W. Broadway and N. Moore St.<br>TriBeCa<br>Manhattan,40.7197,-74.0059,Manhattan,TriBeCa,N/A,Film,http://www.imdb.com/title/tt0110167/,West Broadway and North Moore Street,There is also a diner photo,Y,191,,Y
Jeremy,1973,Jeremy,Jeremy_ec,"Courtesy of Everett Collection, Inc.",Directed by,Arthur Barron,http://imdb.com/name/nm0057634/,Central Park<br>Manhattan,40.77474873,-73.97250831,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0070238/,Central Park,,Y,108,,Y
Jumpin' at the Boneyard,1992,Jumpin%27%20at%20the%20Boneyard,,,Directed by,Jeff Stanzler,http://imdb.com/name/nm0822863/,Burned-out blocks in the Bronx,40.83438208,-73.91993165,The Bronx,The Bronx,N/A,Film,http://imdb.com/title/tt0102174/,burned-out blocks in the Bronx,,Y,128, ,N
Jungle Fever,1991,Jungle%20Fever,JungleFever_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Bensonhurst<br>Brooklyn,40.6019,-73.9938,Brooklyn,Brooklyn,New York Moments,Film,http://www.imdb.com/title/tt0102175/,Bensonhurst,Not sure if this the correct photo,Y,203,,Y
Jungle Fever,1991,Jungle%20Fever,JungleFever2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Strivers' Row<br>Harlem<br>Manhattan,40.81803961,-73.94421637,Manhattan,Harlem,N/A,Film,,"Strivers' Row, 138th st bet Powell and Douglass blvds",slide,N,,,Y
Kids,1995,Kids,,,Directed by,Larry Clark,http://imdb.com/name/nm0164187/,Washington Square Park<br>West Village<br>Manhattan,40.7310719,-73.99686277,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0113540/,Washington Square Park,,Y,79,,N
Killer's Kiss,1957,Killer%27s%20Kiss,KillersKiss_ec,Courtesy of Photofest,Directed by,Stanley Kubrick,http://imdb.com/name/nm0000040/,Rooftops<br>Lower Manhattan,40.70821425,-74.01365876,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0048254/,Rooftops of lower Manhattan,,Y,44,,Y
King Kong,1976,King%20Kong,KingKong_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Guillermin,http://imdb.com/name/nm0347086/,World Trade Center<br>Lower Manhattan,40.71254894,-74.01477993,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0074751/,World Trade Center,,Y,90-91,,Y
Kissing Jessica Stein,2001,Kissing%20Jessica%20Stein,kissing_jessica_st4_pf,Courtesy of Photofest,Directed by,Charles Herman-Wurmfeld,http://imdb.com/name/nm0379237/,E. 6th St.<br>East Village<br>Manhattan,40.7255,-73.984,Manhattan,East Village,N/A,Film,http://www.imdb.com/title/tt0264761/,East 6th Street,,Y,210,,Y
Klute,1971,Klute,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/,World Trade Center<br>Lower Manhattan,40.71126402,-74.01129305,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0067309/,World Trade Center,,Y,89,,N
Klute,1971,Klute,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/,Hell's Kitchen<br>Ninth Ave.<br>Manhattan,40.76160968,-73.99031281,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0067309/,Ninth Avenue in the 40s,,Y,104,,N
Klute,1971,Klute,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/,123rd St.<br>Harlem<br>Manhattan,40.80091344,-73.93336952,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0067309/,123rd Street near First Avenue,Additional Image on p88 of the book,Y,62,,Y
Kojak,1973-1978,Kojak,Kojak_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers",60 Baxter St.<br>Lower Manhattan,40.715847,-74.000547,Manhattan,Lower Manhattan,N/A,TV,http://imdb.com/title/tt0069599/,Lincoln Center,Unusable need rescan,Y,257,,Y
Kojak,1973-1978,Kojak,Kojak2_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers",Lincoln Center<br>Upper West Side<br>Manhattan,40.77240875,-73.98376286,Manhattan,Upper West Side,N/A,TV,http://imdb.com/title/tt0069599/,Lincoln Center,Unusable need rescan,Y,257,,Y
Kramer vs. Kramer,1979,Kramer%20vs%2E%20Kramer,Kramervskramer_pf,Courtesy of Photofest,Directed by,Robert Benton,http://imdb.com/name/nm0000914/,P.S. 6 (45 E. 81st St.)<br>Upper East Side<br>Manhattan,40.777554,-73.960694,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0079417/,P.S. 6 - Madison Avenue and 81st street,,Y,157,,Y
Law & Order,1988- Today,Law%20%26%20Order,LawandOrder1_pf,Courtesy of Photofest,Created by,"Dick Wolf,(more)","http://imdb.com/name/nm0937725/,http://imdb.com/title/tt0098844/fullcredits#writers",Worth St.<br>Lower Manhattan,40.7171,-74.0063,Manhattan,Lower Manhattan,N/A,TV,http://imdb.com/title/tt0098844/,"2 locations:
- Central Park
- Worth Street",,Y,258-259,,Y
Little Fugitive,1953,Little%20Fugitive,LittleFugative_pf,Courtesy of Photofest,Directed by,"Morris Engel,Ruth Orkin,(more)","http://imdb.com/name/nm0257129/,http://imdb.com/name/nm0257129/,http://imdb.com/title/tt0046004/fullcredits#directors",Coney Island<br>Brooklyn,40.57463602,-73.98080707,Brooklyn,Brooklyn,N/A,Film,http://imdb.com/title/tt0046004/,Coney Island,,Y,45,,Y
Little Manhattan,2005,Little%20Manhattan,LittleManhattan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mark Levin,http://imdb.com/name/nm0505662/,Christopher St. Station<br>Sheridan Square<br>Manhattan,40.73360844,-74.00279582,Manhattan,West Village,The Subway,Film,http://www.imdb.com/title/tt0412922/,Sheridan Square/Christopher Street Station,,Y,193,,Y
LUV,1967,LUV,Luv_pf,Courtesy of Photofest,Directed by,Clive Donner,http://imdb.com/name/nm0232795/,Manhattan Bridge<br>Brooklyn,40.70507488,-73.98961008,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0061927/,Manhattan Bridge,poor quality,Y,54,,Y
Mad Hot Ballroom,2005,Mad%20Hot%20Ballroom,MadHotBallroom_ec,"Courtesy of Everett Collection, Inc.",Directed by,Marilyn Agrelo,http://imdb.com/name/nm1802009/,Washington Heights<br>Harlem<br>Manhattan,40.83228774,-73.94633532,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0438205/,Washington Heights,,Y,245,,Y
Malcolm X,1992,Malcolm%20X,MalcolmX_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,"Adjacent to Apollo Theater,<br>W. 125th St. between 7th and 8th Aves<br>Harlem, Manhattan",40.810038,-73.95045,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0104797/,"Adjacent to Apollo Theater, 125th Street bet 7th and 8th Aves",,Y,102-103,,Y
Man Push Cart,2005,Man%20Push%20Cart,,,Directed by,Ramin Bahrani,http://imdb.com/name/nm1023919/,Midtown<br>Manhattan,40.7552,-73.9733,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0464105/,N/A,,Y,245,N,N
Manhattan,1979,Manhattan,Manhattan_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,MoMA<br>W. 53rd St.<br>Manhattan,40.76113835,-73.97720218,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0079522/,"MoMA, 53rd St bet 5th and 6th Aves",Additional image p116,Y,123,,Y
Marty,1955,Marty,Marty_pf,Courtesy of Photofest,Directed by,Delbert Mann,http://imdb.com/name/nm0542720/,The Bronx,40.839742,-73.880923,The Bronx,The Bronx,N/A,Film,http://imdb.com/title/tt0048356/,Bronx store,,Y,40,,Y
McCloud,1970-1977,McCloud,Mccloud_ec,"Courtesy of Everett Collection, Inc.",Directed by,"Lou Antonio,Jack Arnold,(more)","http://imdb.com/name/nm0031398/,http://imdb.com/name/nm0000791/,http://imdb.com/title/tt0065317/fullcredits#writers",Manhattan,40.75728631,-74.00074124,Manhattan,Midtown,N/A,TV,http://imdb.com/title/tt0065317/,N/A,,Y,256,N,Y
Mean Streets,1973,Mean%20Streets,,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/,Hester St. and Baxter St.<br>Little Italy<br>Manhattan,40.7185,-73.9988,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0070379/,Hester and Baxster Streets,,Y,186,,N
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,Battery Park<br>Lower Manhattan,40.70435915,-74.01472628,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0119654/,Battery Park,,Y,132,,N
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,MacDougal St.<br>SoHo<br>Manhattan,40.73164913,-73.99913192,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0119654/,"MacDougle Street, SoHo", JAMES CROSSED OUT,Y,132,,N
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.752412,-73.977979,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0119654/,Grand Central Station - 42nd Street, JAMES CROSSED OUT,Y,132,,N
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,Guggenheim Museum<br>E. 88th St. and Fifth Ave.<br>Manhattan,40.78257241,-73.95934939,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0119654/,"Guggenheim Museum, 88th and Fifth",,Y,207,,Y
Midnight Cowboy,1969,Midnight%20Cowboy,MidnightCowboy1_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/,1414 Broadway<br>Midtown<br>Manhattan,40.753767,-73.986866,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0064665/,39th Street and Broadway,Additional Image on p58-59 of the book,Y,235,,Y
Midnight Cowboy,1968,Midnight%20Cowboy,MidnightCowboy2_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/,Times Square<br>Manhattan,40.75819652,-73.98512006,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0064665/,Times Square,Additional Image on p96,Y,234,,Y
Mirage,1965,Mirage,Mirage_pf,Courtesy of Photofest,Directed by,Edward Dmytryk,http://imdb.com/name/nm0229424/,Fifth Ave. and 66th St.<br>Central Park<br>Manhattan,40.7687,-73.9698,Manhattan,Central Park,N/A,Film,http://imdb.com/title/tt0059448/,Central Park,,Y,51,,Y
Mo' Better Blues,1990,Mo%27%20Better%20Blues,MoBetterBlues2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Brooklyn Bridge,40.70645752,-73.99727583,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0100168/,Brooklyn Bridge,Image p225 not of brooklyn bridge,Y,,,Y
My Dinner with André,1991,My%20Dinner%20with%20Andr%E9,MyDinnerWithAndre_pf,Courtesy of Photofest,Directed by,Louis Malle,http://imdb.com/name/nm0001501/,Subway ,40.71860728,-73.98836017,Manhattan,Lower East Side,The Subway,Film,http://imdb.com/title/tt0082783/,Subway ,needs to be reversed,Y,158,,Y
New Jack City,1991,New%20Jack%20City,,,Directed by,Mario Van Peebles,http://imdb.com/name/nm0005522/,Grant's Tomb<br>Harlem<br>Manhattan,40.8127049,-73.96310449,Manhattan,Harlem,N/A,Film,http://www.imdb.com/title/tt0102526/,Harlem,,N,,,N
"Next Stop, Greenwich Village",1975,Next%20Stop%2C%20Greenwich%20Village,NextStopGreenwich_ec,"Courtesy of Everett Collection, Inc.",Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/,MacDougal St.<br>West Village<br>Manhattan,40.72936455,-74.00103629,Manhattan,West Village,N/A,Film,http://imdb.com/title/tt0074963/,MacDougal Street,,Y, 76-77,,Y
Nighthawks,1981,Nighthawks,Nighthawks_1981_1_pf,Courtesy of Photofest,Directed by,Bruce Malmuth,http://imdb.com/name/nm0540330/,Roosevelt Island Tramway<br>Manhattan,40.75835906,-73.95694613,Manhattan,Roosevelt Island,N/A,Film,http://www.imdb.com/title/tt0082817/,Roosevelt Island Tramway,,Y,124,,Y
No Way to Treat a Lady,1968,No%20Way%20to%20Treat%20a%20Lady,NoWaytoTreataLady2_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/,New York City Bus<br>Manhattan,40.72268923,-73.98893952,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0063356/,44th St bet. 8th Avenue and Broadway,Image p94 not of 8th Ave,Y,,,Y
No Way to Treat a Lady,1968,No%20Way%20to%20Treat%20a%20Lady,NoWaytoTreataLady_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/,Carmines<br>200 W. 44th St. <br>Manhattan,40.75736758,-73.98670793,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0063356/,44th St bet. 8th Avenue and Broadway,Image p94 not of 8th Ave,Y,,,Y
North by Northwest,1959,North%20by%20Northwest,,,Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/,Grand Central Terminal<br>Midtown<br>Manhattan,40.75310896,-73.9769876,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0053125/,Grand Central Station,,Y,42,,N
On the Town,1949,On%20the%20Town,OntheTown_pf,Courtesy of Photofest,Directed by,"Stanley Donen,Gene Kelly","http://imdb.com/name/nm0002045/,http://imdb.com/name/nm0000037/",Little Italy<br>Manhattan,40.71813564,-73.99790883,Manhattan,Lower East Side,N/A,Film,http://imdb.com/title/tt0041716/,"3 locations:
- Upper Bay
- Little Italy 
- Skating rink at Rockefeller Center",,Y,36-37,,Y
On the Waterfront,1954,On%20the%20Waterfront,OnTheWaterfront_pf,Courtesy of Photofest,Directed by,Elia Kazan,http://imdb.com/name/nm0001415/,"Hoboken, New Jersey<br>View of Manhattan",40.74712691,-74.02497768,Manhattan,New York Harbor,N/A,Film,http://imdb.com/title/tt0047296/,"Hoboken, New Jersey",,Y,40-41,,Y
One Fine Day,1996,One%20Fine%20Day,,,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/,Carnegie Deli<br>Seventh Ave. and W. 55th St.<br>Manhattan,40.7642,-73.981,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0117247/,Carnegie Deli - 7th Avenue at 55th Street,,Y,244,,N
One Fine Day,1996,One%20Fine%20Day,,,Directed by,Michael Hoffman,http://imdb.com/name/nm0001355/,Near Bethesda Fountain<br>Central Park<br>Manhattan,40.77426124,-73.97052348,Manhattan,Central Park,N/A,Film,http://www.imdb.com/title/tt0117247/,Central Park,,Y,147,,N
Other People's Money,1991,Other%20People%27s%20Money,,,Directed by,Norman Jewison,http://imdb.com/name/nm0422484/,World Trade Center<br>Lower Manhattan,40.71292303,-74.01314914,Manhattan,Lower Manhattan,N/A,Film,http://imdb.com/title/tt0102609/,World Trade Center,,Y,92,,N
Pieces of April,2003,Pieces%20of%20April,PiecesofApril_ec,"Courtesy of Everett Collection, Inc.",Directed by,Peter Hedges,http://imdb.com/name/nm0373282/,Lower East Side<br>Manhattan,40.72057,-73.985953,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0311648/,Lower East Side,,N,,,Y
Plaza Suite,1971,Plaza%20Suite,PlazaSuite_pf,Courtesy of Photofest,Directed by,Arthur Hiller,http://imdb.com/name/nm0002137/,Rockefeller Center<br>600 Fifth Ave.<br>Manhattan,40.757603,-73.978101,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0067589/,Rockefeller Center,,N,,,Y
Prime,2005,Prime,,,Directed by,Ben Younger,http://imdb.com/name/nm0950226/,Dean and Deluca<br>SoHo<br>Manhattan,40.725367,-73.999702,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0387514/,"SoHo, Dean and Deluca",,Y,155,,N
Ragtime,1981,Ragtime,Ragtime2_pf,Courtesy of Photofest,Directed by,Milos Forman,http://imdb.com/name/nm0001232/,E. 11th St. between Ave. A and Ave. B<br>East Village<br>Manhattan,40.72795799,-73.9806515,Manhattan,East Village,Historic Recreations,Film,http://www.imdb.com/title/tt0082970/,11th Street bet Avenue A and Avenue B,,Y,150,,Y
Report to the Commissioner,1975,Report%20to%20the%20Commissioner,ReporttotheComm4_ec,"Courtesy of Everett Collection, Inc.",Directed by,Milton Katselas,http://imdb.com/name/nm0441501/,Winter Garden Theater<br>1634 Broadway<br>Manhattan,40.761528,-73.983802,Manhattan,Midtown,Chases,Film,http://www.imdb.com/title/tt0073620/,"Winter Garden Theater, Saks Fifth Avenue",,Y,86-87,,Y
Requiem for a Dream,2000,Requiem%20for%20a%20Dream,Requiemforadream2_pf,Courtesy of Photofest,Directed by,Darren Aronofsky,http://imdb.com/name/nm0004716/,Coney Island Boardwalk<br>Brooklyn,40.57223197,-73.98395598,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0180093/,Coney Island/Brighton Beach Boardwalk,poor quality,Y,134-135,,Y
Rosemary's Baby,1968,Rosemary%27s%20Baby,RosemarysBaby_ec,"Courtesy of Everett Collection, Inc.",Directed by,Roman Polanski,http://imdb.com/name/nm0000591/,Fifth Ave. and E. 62nd St.<br>Upper East Side<br>Manhattan,40.7661,-73.9717,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0063522/,Phone Booth: Fifth Ave and 62nd Street,,Y,57,,Y
Rosemary's Baby,1968,Rosemary%27s%20Baby,RosemarysBaby3_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.77639,-73.976069,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West",,Y,69,,Y
Rosemary's Baby,1968,Rosemary%27s%20Baby,RosemarysBaby2_pf,Courtesy of Photofest,Directed by,Roman Polanski,http://imdb.com/name/nm0000591/,"The Dakota<br>72nd St. and Central Park West<br>Manhattan
",40.77656053,-73.97615075,Manhattan,Upper West Side,N/A,Film,http://www.imdb.com/title/tt0063522/,"The Dakota, 72nd Street and Central Park West",,Y,246,,Y
Saturday Night Fever,1977,Saturday%20Night%20Fever,SaturdayNightFever2_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/,4th Ave. and 86th St.<br>Bay Ridge<br>Brooklyn,40.6228,-74.0284,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge",Additional image p192,Y,115,,Y
Saturday Night Fever,1977,Saturday%20Night%20Fever,SaturdayNightFever_pf,Courtesy of Photofest,Directed by,John Badham,http://imdb.com/name/nm0000824/,Subway Car<br>Brooklyn,40.6260702,-73.9970237,Brooklyn,Brooklyn,The Subway,Film,http://www.imdb.com/title/tt0076666/,"Fourth Avenue and 86th Street, Bay Ridge",,Y,115,,Y
Searching for Bobby Fischer,1993,Searching%20for%20Bobby%20Fischer,SearchingforBobby_pf,Courtesy of Photofest,Directed by,Steven Zaillian,http://imdb.com/name/nm0001873/,Washington Square Park<br>West Village<br>Manhattan,40.7310719,-73.99928749,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0108065/,Washington Square Park,,Y,79,,Y
Serpico,1973,Serpico,Serpico_pf,Courtesy of Photofest,Directed by,Sidney Lumet,http://imdb.com/name/nm0001486/,"Williamsburg Tenaments<br>Brooklyn
",40.70757988,-73.96520197,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0070666/,Williamsburgh teNaments,poor quality,Y,60,,Y
Sesame Street,1969-today,Sesame%20Street,SesameStreet_pf,Courtesy of Photofest,Created by,"Joan Ganz Cooney,(more)","http://imdb.com/name/nm0177760/,http://www.imdb.com/title/tt0063951/fullcredits#writers",Kaufman Astoria Studios<br>Astoria<br>Queens,40.757599,-73.923671,Queens,Queens,N/A,TV,http://www.imdb.com/title/tt0063951/,Kaufman Astoria Studios,poor quality,Y,265,,Y
Sex and the City,1998-2004,Sex%20and%20the%20City,SexandtheCity3_ec,"Courtesy of Everett Collection, Inc.",Created by,"Darren Star,(more)","http://imdb.com/name/nm0823015/,http://www.imdb.com/title/tt0159206/fullcredits#writers",Magnolia Bakery<br>401 Bleecker St.<br>Manhattan,40.73580345,-74.00501668,Manhattan,West Village,N/A,TV,http://www.imdb.com/title/tt0159206/,Magnolia Bakery: Bleeker Street,We have another photo,Y,267,,Y
Shadows,1959,Shadows,Shadows_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Cassavetes,http://imdb.com/name/nm0001023/,MoMA<br>W. 53rd St.<br>Manhattan,40.7608458,-73.97647262,Manhattan,Midtown,N/A,Film,http://imdb.com/title/tt0053270/,N/A,,Y,44,N,Y
Shaft,1971,Shaft,,,Directed by,Gordon Parks,http://imdb.com/name/nm0662953/,Seventh Ave. and W. 42nd St.<br>Times Square<br>Manhattan,40.756,-73.987,Manhattan,Times Square,N/A,Film,http://www.imdb.com/title/tt0067741/,7th avenue at 42nd Street,,Y,106,,N
Shaft,2000,Shaft,Shaft2000_pf,Courtesy of Photofest,Directed by,John Singleton,http://imdb.com/name/nm0005436/,New York County Courthouse<br>60 Centre St.<br>Lower Manhattan,40.714451,-74.002329,Manhattan,Lower Manhattan,N/A,Film,http://www.imdb.com/title/tt0162650/,New York County Courthouse: 60 Centre St,slide,Y,214,,Y
She's the One,1996,She%27s%20the%20One,Shestheone_pf,Courtesy of Photofest,Directed by,Edward Burns,http://imdb.com/name/nm0122653/,McHales Pub<br>W. 46th and Eighth Ave.<br>Manhattan,40.75974059,-73.98754478,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0117628/,"McHales Pub, 46th and Columbus",poor quality,Y,243,,Y
Single White Female,1992,Single%20White%20Female,SingleWhiteFemale_pf,Courtesy of Photofest,Directed by,Barbet Schroeder,http://imdb.com/name/nm0775447/,Ansonia Hotel<br>2109 Broadway<br>Manhattan,40.779956,-73.981881,Manhattan,Upper West Side,New York Landmarks,Film,http://www.imdb.com/title/tt0105414/,Ansonia Hotel - 30th Street bet 7th and 8th Aves,,Y,170,,Y
