Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION
Arthur,1981,Arthur,Arthur_pf,Courtesy of Photofest,Directed by,Steve Gordon,http://imdb.com/name/nm0330619/,Bergdorf's at 754 Fifth Ave.<br>Midtown<br>Manhattan,40.763334,-73.973891,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0082031/,"in front of Bergorf's, 5th Ave at 58th street",,N,,,Y
As Good As It Gets,1997,As%20Good%20As%20It%20Gets,AsGoodAsitgets_pf,Courtesy of Photofest,Directed by,James L. Brooks,http://imdb.com/name/nm0000985/,Sixth Ave. between 11th St. and 12th St.<br>West Village<br>Manhattan,40.7354051,-73.99831653,Manhattan,West Village,N/A,Film,http://imdb.com/title/tt0119822/,Sixth Avenue btwn 11th ansd 12th St east side of 6th Ave,,Y,206,,Y
Barefoot in the Park,1967,Barefoot%20in%20the%20Park,BarefootinthePark2_pf,Courtesy of Photofest,Directed by,Gene Saks,http://imdb.com/name/nm0757256/,Washington Square Park<br>West Village<br>Manhattan,40.7307223,-73.99651408,Manhattan,West Village,N/A,Film,http://www.imdb.com/title/tt0061385/,Washington Square Park,poor quality,Y,74-75,,Y
Barefoot in the Park,1967,Barefoot%20in%20the%20Park,BarefootinthePark1_pf,Courtesy of Photofest,Directed by,Gene Saks,http://imdb.com/name/nm0757256/,Greenwich St. and Christopher St.<br>Greenwich Village<br>Manhattan,40.73311252,-74.00741458,Manhattan,SoHo,N/A,Film,http://www.imdb.com/title/tt0061385/,Greenwhich Street near Christopher Street,,Y,74-75,,Y
Basquiat,1996,Basquiat,Basquiat_pf,Courtesy of Photofest,Directed by,Julian Schnabel,http://imdb.com/name/nm0773603/,Lower East Side<br>Manhattan,40.71818443,-73.98885369,Manhattan,Lower East Side,N/A,Film,http://www.imdb.com/title/tt0115632/,[Ludlow below Delancy ] Lower East Side,,Y,187,,Y
Bed of Roses,1996,Bed%20of%20Roses,,,Directed by,Michael Goldenberg,http://imdb.com/name/nm0325533/,Chelsea,40.74324155,-74.00196433,Manhattan,Chelsea,Rooftops,Film,http://www.imdb.com/title/tt0115644/,chelsea (midtown),,Y,231,N,N
BIG,1988,BIG,Big_pf,Courtesy of Photofest,Directed by,Penny Marshall,http://imdb.com/name/nm0001508/,F.A.O. Schwarz at 767 Fifth Ave.<br>Midtown<br>Manhattan,40.764053,-73.972978,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0094737/,F.A.O. Schwarz - 58th and Fifth Avenue,poor quality,Y,162-163,,Y
Blue in the Face,1995,Blue%20in%20the%20Face,,,Directed by,"Paul Auster,Wayne Wang","http://imdb.com/name/nm0000808/,http://imdb.com/name/nm0911061/",Prospect Park West and 16th St.<br>Windsor Terrace<br>Brooklyn,40.65749448,-73.97406936,Brooklyn,Brooklyn,N/A,Film,http://www.imdb.com/title/tt0112541/,Prospect Park West and 16th Street in Windsor Terrace,,Y,177,,N
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,BreakfastatTiffanys3_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/,Tiffany & Co. at 727 Fifth Ave.<br>Midtown<br>Manhattan,40.76251,-73.974142,Manhattan,Midtown,N/A,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,,Y,49,,Y
Breakfast at Tiffany's,1961,Breakfast%20at%20Tiffany%27s,BreakfastatTiffanys2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Blake Edwards,http://imdb.com/name/nm0001175/,E. 71st St.<br>Upper East Side<br>Manhattan,40.77136061,-73.96643043,Manhattan,Upper East Side,N/A,Film,http://www.imdb.com/title/tt0054698/,Tiffany & Co. - 727 Fifth Avenue at 57th Street,,Y,48,,Y
