"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","isbn","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2016","10","4","The long and faraway gone / Lou Berney.",,"Berney, Louis","Cold cases Criminal investigation Fiction, Private investigators Fiction, Mystery fiction","William Morrow, An Imprint of HarperCollinsPublishers,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2016","10","1","The Hot Flash Club Chills Out: Hot Flash Club Series, Book 4 (unabridged) (Unabridged)",,"Nancy Thayer","Fiction, Literature","Books on Tape","2007"
"Physical","Horizon","BOOK","2016","10","1","Cool tools : cooking utensils from the Japanese kitchen / Kate Klippensteen ; photographs by Yasuo Konishi ; styling by Ori Koyama.",,"Klippensteen, Kate, 1963-","Kitchen utensils Japan, Cooking Japanese","Kodansha International.,","2006."
"Physical","Horizon","BOOK","2016","10","1","The hexed / Heather Graham.",,"Graham, Heather","United States Federal Bureau of Investigation Officials and employees Fiction, Witches Fiction, Psychic ability Fiction, Apparitions Fiction, Murder Investigation Fiction, Salem Mass Fiction, Large type books, Paranormal romance stories, Romantic suspense fiction, Ghost stories, Suspense fiction","Center Point Large Print,","2014."
"Physical","Horizon","SOUNDDISC","2016","10","3","Rarities [sound recording] / Rod Stewart.",,"Stewart, Rod","Rock music 1961 1970, Rock music 1971 1980","Mercury,","p2013."
"Digital","Hoopla","MUSIC","2016","10","1","Tuesday Night Music Club (Deluxe Edition)",,,"Pop","Strategic Marketing",
"Digital","OverDrive","EBOOK","2016","10","2","How to Date a Dragon: Flirting with Fangs Series, Book 2",,"Ashlyn Chase","Fantasy, Fiction, Romance","Sourcebooks","2015"
"Digital","OverDrive","EBOOK","2016","10","3","Mr. Tony Is Full of Baloney!: My Weird School Daze Series, Book 11",,"Dan Gutman","Humor (Fiction), Juvenile Fiction","HarperCollins Publishers Inc.","2011"
"Physical","Horizon","SOUNDDISC","2016","10","4","The J.R.R. Tolkien audio collection [sound recording] / J.R.R. Tolkien.",,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973","Middle Earth Imaginary place Poetry, Middle Earth Imaginary place Fiction, English poetry 20th century, Fantasy fiction 20th century, Fantasy literature 20th century, Fantasy poetry, Fantasy poetry 20th century, Fantasy poetry English, Fantasy fiction, Audiobooks","Caedmon,","c2001."
"Digital","OverDrive","EBOOK","2016","10","2","The Everything Family Guide to Coastal Florida: St. Augustine, Miami, The Keys, Panama City--and All The Hot Spots In Between!",,"Bob Brooke","Nonfiction, Travel","F+W, a Content + eCommerce Company","2009"
"Digital","OverDrive","AUDIOBOOK","2016","10","3","Dry: A Memoir (unabridged) (Unabridged)",,"Augusten Burroughs","Biography & Autobiography, Nonfiction","Macmillan Audio","2007"
"Digital","Freegal","SONG","2016","10","1","Don't Stop",,"Chali 2na & Anthony Hamilton",,,
"Physical","Horizon","VIDEODISC","2016","10","2","Cheers. Season 7 [videorecording] / Paramount Television.",,,"Bars Drinking establishments Massachusetts Boston Drama, Bartenders Drama, Waitresses Drama, Television series, Television comedies, Fiction television programs, Video recordings for the hearing impaired","Paramount Home Entertainment,","[2005]"
"Physical","Horizon","BOOK","2016","10","1","The super secret mystery / by Stephanie Barden ; illustrations by Diane Goode.",,"Barden, Stephanie","Schools Juvenile fiction, Endangered species Juvenile fiction, Schools Fiction, Mystery and detective stories","Harper,","c2013."
"Digital","OverDrive","AUDIOBOOK","2016","10","5","Stalin's Daughter: The Extraordinary and Tumultuous Life of Svetlana Alliluyeva (unabridged) (Unabridged)",,"Rosemary Sullivan","Biography & Autobiography, History, Nonfiction","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2016","10","1","Seconds away / Harlan Coben.",,"Coben, Harlan, 1962-","Murder Juvenile fiction, Adventure stories, High schools Juvenile fiction, Schools Fiction, Uncles Juvenile fiction, Murder Fiction, High schools Fiction, Uncles Fiction, Adventure and adventurers Fiction, Mystery and detective stories","G. P. Putnam's Sons,","2012."
"Physical","Horizon","BOOK","2016","10","1","Meeow and the little chairs / Sebastien Braun.",,"Braun, Sebastien","Cats Juvenile fiction, Play Fiction","Boxer ; Distributed by Sterling Pub. Co.,","2009."
"Digital","OverDrive","AUDIOBOOK","2016","10","1","The Wrong Man (Unabridged)",,"Kate White","Fiction, Mystery, Suspense, Thriller","Dreamscape Media, LLC","2015"
"Physical","Horizon","BOOK","2016","10","1","The nearness of you : poems / by Carolyn Kizer.",,"Kizer, Carolyn",,"Copper Canyon Press,","1986."
"Digital","OverDrive","EBOOK","2016","10","10","Precious and Grace: No. 1 Ladies' Detective Agency Series, Book 17",,"Alexander McCall Smith","Fiction, Literature, Mystery, Romance","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2016","10","3","Fool Me Twice",,"Meredith Duran","Fiction, Historical Fiction, Literature, Romance","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2024","9","1","Becoming a Changemaker: Transform Your Career, Your Community, and the World","9781538707784","Alex Budak","Business, Nonfiction, Economics","Hachette Digital, Inc.","2022"
"Physical","Horizon","VIDEODISC","2016","10","26","La fille du puisatier [videorecording] = The well-digger's daughter / une coproduction A.S. Films, Zack Films, Pathe, TF1 Films production ; avec la participation de Canal+ et CineCinema ; en association avec la Banque Postale Image 4, Cofimage 22, Uni etoile 8, Banque Populaire Image 11, Cinemage 5 ; adaptation, Daniel Auteuil ; produit par Alain Sarde et Jerôme Seydoux ; un film de Daniel Auteuil.",,,"Fathers and daughters France Drama, Unmarried mothers France Drama, France Social life and customs 19th century Drama, Provence France Social life and customs Drama, Feature films, Fiction films, Historical films, Motion pictures French","Manufactured and distributed by Kino Lorber,","[2012]"
"Physical","Horizon","SOUNDDISC","2016","10","5","Night [sound recording] / Elie Wiesel ; a new translation by Marion Wiesel ; with a new preface by the author.",,"Wiesel, Elie, 1928-2016","Wiesel Elie 1928 2016, World War 1939 1945 Personal narratives Jewish, World War 1939 1945 Jews, World War 1939 1945 Concentration camps, Holocaust Jewish 1939 1945 Biography","Recorded Books,","p2006."
"Digital","OverDrive","AUDIOBOOK","2016","10","2","VocabuLearn® Arabic Level One (Unabridged)",,"Penton Overseas, Inc.","Foreign Language Study, Nonfiction","Penton Overseas, Inc.","2007"
"Physical","Horizon","BOOK","2016","10","1","Out of orange : a memoir / Cleary Wolters.",,"Wolters, Cleary.","Wolters Cleary, Women drug dealers United States Biography, Women ex convicts United States Biography, Women prisoners Connecticut Danbury Biography, Drug traffic United States","HarperOne,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2016","10","3","Fragments: Partials Series, Book 2 (unabridged) (Unabridged)",,"Dan Wells","Science Fiction, Young Adult Fiction","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","BOOK","2016","10","2","The first phone call from heaven / Mitch Albom.",,"Albom, Mitch, 1958-","Single fathers Fiction, Future life Fiction, Heaven Fiction, Belief and doubt Fiction, City and town life Fiction, Michigan Lake Fiction, Psychological fiction","Harper,","[2013]"
"Physical","Horizon","VIDEODISC","2016","10","10","Elstree 1976 [videorecording] / Canal Cat Films, British Film Company, Verax Films & The Works present ; a Canal Cat Films production ; directed by Jon Spira ; produced by Hank Starrs, Steve Milne.",,,"Star Wars films Miscellanea, Science fiction films Production and direction Anecdotes, Extras Actors Anecdotes, Motion picture actors and actresses Anecdotes, Documentary films, Video recordings for the hearing impaired","FilmRise,","2016."
"Digital","OverDrive","EBOOK","2016","10","3","Death of a Macho Man: Hamish Macbeth Mystery Series, Book 12",,"M. C. Beaton","Fiction, Mystery","Hachette Digital, Inc.","2009"
"Digital","OverDrive","EBOOK","2016","10","1","The Love You Make: An Insider's Story of the Beatles",,"Peter Brown","Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","BOOK","2016","10","3","The immortal who loved me / Lynsay Sands.",,"Sands, Lynsay","Argeneau family Fictitious characters Fiction, Women merchants Fiction, Vampires Fiction, Paranormal romance stories","Avon, an imprint of HarperCollinsPublishers,","[2015]"
"Physical","Horizon","BOOK","2016","10","1","Out of thin air : dinosaurs, birds, and Earth's ancient atmosphere / Peter D. Ward ; illustrations by David W. Ehlert.",,"Ward, Peter Douglas, 1949-","Dinosaurs Extinction, Dinosaurs Evolution, Paleoecology, Paleobotany Carboniferous","J. Henry Press,","c2006."
"Digital","OverDrive","EBOOK","2016","10","1","Commander in Cheese #1: The Big Move",,"Lindsey Leavitt","Humor (Fiction), Juvenile Fiction","Random House, Inc.","2016"
"Physical","Horizon","BOOK","2016","10","22","Olympians. [2], Athena : grey-eyed goddess / George O'Connor.",,"O'Connor, George","Athena Greek deity Comic books strips etc, Gods Greek Comic books strips etc, Cartoons and comics, Graphic novels","First Second,","2010."
"Physical","Horizon","BOOK","2016","10","1","Broke, USA : from pawnshops to Poverty, Inc. : how the working poor became big business / Gary Rivlin.",,"Rivlin, Gary","Working poor United States, Poverty United States, United States Economic conditions 21st century","Harper Business,","c2010."
"Physical","Horizon","BOOK","2016","10","1","The woman I was born to be : my story / Susan Boyle.",,"Boyle, Susan, 1961-","Boyle Susan 1961, Singers Scotland Biography","Atria Books,","c2010."
"Physical","Horizon","BOOK","2016","10","6","Gathering moss : a natural and cultural history of mosses / by Robin Wall Kimmerer.",,"Kimmerer, Robin Wall","Mosses, Mosses Ecology, Kimmerer Robin Wall","Oregon State University Press,","c2003."
"Physical","Horizon","VIDEODISC","2016","10","1","The inspector general [videorecording] / a Warner Bros.-First National picture ; screen play by Philip Rapp and Harry Kurnitz ; produced by Jerry Wald ; directed by Henry Koster.",,,"Mistaken identity Drama, Public officers Drama, Gogol Nikolai Vasilevich 1809 1852 Film adaptations, Musical films, Comedy films, Film adaptations, Feature films","Shout! Factory,","2011."
"Digital","Freegal","SONG","2016","10","1","Have Yourself A Merry Little Christmas",,"John Pizzarelli",,,
"Physical","Horizon","BOOK","2016","10","2","The Crogan adventures. ""Last of the legion"" / by Chris Schweizer ; colored by Joey Weiser & Michele Chidester ; book design by Chris Schweizer & Keith Wood ; edited by James Lucas Jones with Jill Beaton.",,"Schweizer, Chris","France Arm‚e L‚gion ‚trangŠre Comic books strips etc, Adventure and adventurers Comic books strips etc, Graphic novels","Oni Press,","2015."
"Digital","Freegal","SONG","2016","10","2","My Selfish Heart",,"Meghan Trainor",,,
"Physical","Horizon","BOOK","2016","10","1","Tatting collage / Lindsay Rogers.",,"Rogers, Lindsay","Tatting Patterns, Collage","Guild of Master Craftsman Publications,","1996."
"Physical","Horizon","VIDEODISC","2016","10","2","Pokémon DP. Sinnoh League victors. Set 1, episodes 1-11 [videorecording] / Pokémon Company International ; Nintendo, Creatures, Game Freak, TV Tokyo, ShoPro, J.R. Kikaku.",,,"Pok‚mon Fictitious characters Juvenile drama, Animals Mythical Juvenile drama, Animated television programs, Childrens television programs, Video recordings for the hearing impaired","Viz Media ; distributed by Warner Home Video,","2012."
"Physical","Horizon","SOUNDDISC","2016","10","1","Zero hour [sound recording] : [a novel from the NUMA files] / Clive Cussler and Graham Brown.",,"Cussler, Clive","Austin Kurt Fictitious character Fiction, Marine scientists Fiction, Zero point field Fiction, Earthquakes Fiction, Adventure fiction, Suspense fiction","Penguin Audio,","c2013."
"Physical","Horizon","BOOK","2016","10","1","Rocks & minerals / written by R.F. Symes and the staff of the Natural History Museum, London.",,"Symes, R. F.","Minerals Juvenile literature, Rocks Juvenile literature","Dorling Kindersley,","2008."
"Physical","Horizon","BOOK","2016","10","1","Stop thief! / by Adam J.B. Lane.",,"Lane, Adam","Adventure stories, Robbers and outlaws Fiction, Growth Juvenile fiction","Roaring Brook Press,","2012."
"Digital","OverDrive","EBOOK","2016","10","4","Unlaced: Knights of the Board Room Series, Book 2",,"Jaci Burton","Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.","2011"
"Physical","Horizon","BOOK","2016","10","1","Teenage Mutant Ninja Turtles. New animated adventures, Volume three / writers, Kenny Byerly, Derek Fridolfs, Landry Walker ; artists, Dario Brizuela, Chad Thomas.",,"Byerly, Kenny.","Teenage Mutant Ninja Turtles Fictitious characters Comic books strips etc, Turtles Comic books strips etc, Superheroes Comic books strips etc, Cartoons and comics, Graphic novels","IDW,","2014."
"Physical","Horizon","BOOK","2016","10","1","The nightwood / Robin Muller.",,"Muller, Robin","Elves Folklore Juvenile literature, Celts Folklore Juvenile literature, Elves Folklore Juvenile fiction, Celts Folklore Fiction","Tundra Books,","c2010."
"Digital","Freegal","SONG","2016","10","1","Love Me, Pretty",,"Milt Jackson",,,
"Physical","Horizon","BOOK","2016","10","2","Old Mother West Wind / Thornton W. Burgess ; illustrated by Michael Hague.",,"Burgess, Thornton W. (Thornton Waldo), 1874-1965","Animals Fiction","Holt,","c1990."
"Digital","Freegal","SONG","2016","10","1","Cathy's Clown",,"The Everly Brothers",,,
"Digital","Hoopla","MUSIC","2016","10","3","ANTI (Deluxe)",,,"Pop","Universal Music Group",
"Physical","Horizon","BOOK","2016","10","2","Frisk me / Lauren Layne.",,"Layne, Lauren,","Women journalists Fiction, Police Fiction, Love stories","Forever,","[2015]"
"Physical","Horizon","BOOK","2016","10","8","Lorenzo : the pizza-loving lobster / by Claire Lordon.",,"Lordon, Claire,","Lobsters Juvenile fiction, Pizza Juvenile fiction, Cooking Juvenile fiction, Lobsters Fiction, Pizza Fiction, Cooking Fiction","Little Bee Books,","[2016]"
"Digital","Freegal","SONG","2016","10","1","Political Science (Live)",,"Randy Newman",,,
"Physical","Horizon","BOOK","2016","10","3","The rough guide to Bath, Bristol & Somerset : includes Salisbury & Stonehenge / written and researched by Robert Andrews and Keith Drew.",,"Andrews, Robert","Bath England Guidebooks, Bristol England Guidebooks, Somerset England Guidebooks","Rough Guides,","2016."
"Physical","Horizon","SOUNDDISC","2016","10","2","Blood moon [sound recording] : the year of the wolf / the Game.",,"Game (Musician)","Rap Music, Popular music 2011 2020","eOne Entertainment,","[2014]"
"Digital","OverDrive","AUDIOBOOK","2016","10","1","The Transgender Child: A Handbook for Families and Professionals (unabridged) (Unabridged)",,"Stephanie Brill","Family & Relationships, Nonfiction","Dreamscape Media, LLC","2016"
"Digital","OverDrive","AUDIOBOOK","2016","10","1","Effortless Healing: 9 Simple Ways to Sidestep Illness, Shed Excess Weight, and Help Your Body Fix Itself (unabridged) (Unabridged)",,"Dr. Joseph Mercola","Health & Fitness, Nonfiction","Books on Tape","2015"
"Physical","Horizon","VIDEODISC","2016","10","8","Guess how much I love you, the adventures of Little Nutbrown Hare. Autumn journey [videorecording] / SLR Productions ; for Ki.Ka & HR ; produced in association with 9 Story Media Group.",,,"Animals Juvenile drama, Acorns Juvenile drama, Animated television programs, Fiction television programs, Television series","NCircle Entertainment,","[2016]"
"Digital","Hoopla","MUSIC","2016","10","1","Tournament Of Hearts",,,"Rock","Sub Pop Records",
"Physical","Horizon","BOOK","2016","10","3","It's Ramadan and Eid al-Fitr! / by Richard Sebra.",,"Sebra, Richard, 1984-","Ramadan Juvenile literature, Id al Fitr Juvenile literature, Fasts and feasts Islam Juvenile literature, Ramadan, Id al Fitr, Fasts and feasts Islam","Lerner Publications,","[2017]"
"Physical","Horizon","SOUNDDISC","2016","10","4","Béla Fleck & Abigail Washburn [sound recording].",,"Fleck, Béla, 1958-","Folk music United States, Bluegrass music 2011 2020, Country music 2011 2020, Popular music 2011 2020","Rounder,","[2014]"
"Digital","OverDrive","EBOOK","2016","10","1","Spider's Bite: Elemental Assassin Series, Book 1",,"Jennifer Estep","Fantasy, Fiction, Romance","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2016","10","1","Edge of dark water / Joe R. Lansdale.",,"Lansdale, Joe R., 1951-","Female friendship Fiction, Quakers Death Fiction, Loss Psychology Fiction, Psychological fiction, Suspense fiction, Bildungsromans","Mulholland Books/Little, Brown and Co.,","c2012."
"Physical","Horizon","BOOK","2016","10","1","Germany / [this edition written and researched by Andrea Schulte-Peevers ... [and others]].",,,"Germany Guidebooks","Lonely Planet,","2013."
"Physical","Horizon","VIDEODISC","2016","10","6","The animation show. Vol. 1 [videorecording] / [presented by] Mike Judge and Don Hertzfeldt.",,,"Animation Cinematography, Digital art, Computer animation, Animated films, Short films, Experimental films","MTV Home Entertainment : Paramount Pictures,","2007."
"Physical","Horizon","SOUNDDISC","2016","10","1","Learning to speak English. Spanish. Program one [sound recording].",,,"English language Self instruction, English language Study and teaching Spanish speakers, English language Sound recordings for Spanish speakers","California Language Laboratories,","2008."
"Physical","Horizon","SOUNDDISC","2016","10","1","Pink friday [sound recording] : Roman reloaded / Nicki Minaj.",,"Minaj, Nicki","Rap Music, Popular music 2011 2020","Cash Money/Universal Republic,","p2012."
"Digital","OverDrive","EBOOK","2016","10","3","Take the Cannoli: Stories From the New World",,"Sarah Vowell","Biography & Autobiography, Literary Criticism, Nonfiction, Sociology","Simon & Schuster, Inc.","2014"
"Physical","Horizon","BOOK","2024","9","1","A man & his cat. 1 / story and art by Umi Sakurai ; translation, Taylor Engel ; lettering, Lys Blakeslee.","1646090268, 9781646090266","Sakurai, Umi","Kittens Comic books strips etc, Cats Comic books strips etc, Older men Comic books strips etc, Human animal relationships Comic books strips etc, Pets Comic books strips etc, Pet owners Comic books strips etc, Graphic novels, Animal fiction, Domestic comics, Comics Graphic works","Square Enix,","[2020]"
"Physical","Horizon","VIDEODISC","2016","10","9","Force majeure [videorecording] / Magnolia Pictures ; Plattform ; i samproduktion med Film i Väst , Rhône-Alpes cinéma, Parisienne, Coproduction Office, Motlys ; with the support of ZDF/Arte ; producerad av Erik Hemmendorff, Marie Kjellson, Philippe Bober ; en film av Ruben Östlund.",,,"Vacations Drama, Skis and skiing Drama, Avalanches Drama, Families Drama, Alps French France Drama, Fiction films, Feature films, Video recordings for the hearing impaired","Magnolia Home Entertainment,","[2015]"
"Digital","Hoopla","TELEVISION","2016","10","1","The Addams Family Tree",,,"Classics","MGM",
"Physical","Horizon","BOOK","2016","10","23","Once upon a mastodon / by Bonnie Worth ; illustrated by Aristides Ruiz and Joe Mathieu.",,"Worth, Bonnie","Mammals Fossil Juvenile literature, Glacial epoch Juvenile literature","Random House,","[2014]"
"Physical","Horizon","BOOK","2016","10","4","When I grow up / Al Yankovic ; illustrations by Wes Hargis.",,"Yankovic, Al, 1959-","Stories in rhyme Juvenile fiction, Occupations Juvenile fiction, Show and tell presentations Juvenile fiction, Schools Fiction, Humorous stories","Harper,","c2011."
"Physical","Horizon","SOUNDDISC","2016","10","3","The ultimate Yes [sound recording] : 35th anniversary collection.",,"Yes (Musical group)","Rock music, Progressive rock music","Elektra/Rhino,","p2004."
"Physical","Horizon","BOOK","2016","10","2","Angels : the definitive guide to angels from around the world / Marie-Ange Faugérolas.",,"Faugérolas, Marie-Ange.","Angels","Jeremy P. Tarcher/Penguin,","2015."
"Digital","OverDrive","EBOOK","2016","10","3","Lost in a Good Book: Thursday Next Series, Book 2",,"Jasper Fforde","Fantasy, Fiction, Humor (Fiction), Science Fiction","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2016","10","3","Thief of lies / Brenda Drake.",,"Drake, Brenda.","Magic Juvenile fiction, Witches Juvenile fiction, Libraries Juvenile fiction","Entangled Teen, an imprint of Entangled Publishing,","2016."
